"Model Category","Model","Size","Paper","Print Colour","Quantity","Lamination","Colour Protective Layer","WM Price","EM Price"
"Presentation FolderDocument FolderKey FolderCD Jacket","FPF 001FPF 004FPF 005FPF 014FPF 015FPF 016FDF 001FDF 002FKF 001FKF 002FCD 004","350mm x 510mm371mm x 534mm410mm x 614mm326mm x 613mm324mm x 635mm631mm x 478mm355mm x 535mm432mm x 624mm229mm x 194mm160mm x 161mm160mm x 384mm","Gloss Art Card 250gsm (1 side coated)Gloss Art Card 300gsm (1 side coated)Gloss Art Card 250gsm (2 side coated)Gloss Art Card 310gsm (2 side coated)Gloss Art Card 360gsm (2 side coated)Gloss Art Card 210gsm (1 side coated)Gloss Art Card 260gsm (1 side coated)Gloss Art Card 230gsm (2 side coated)","4C (Front)4C (Both)","2503003504004505005506006507007508008509009501000","Gloss Lamination (Front)Matte Lamination (Front)Matte Lamination (Front) + Spot UV (Front)Gloss Waterbase Varnish (Front)Gloss Lamination (Both)Matte Lamination (Both)Matte Lamination (Both) + Spot UV (Front)Gloss Waterbase Varnish (Both)","N/AGloss Waterbase Varnish (Back)","WM Price","EM Price"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (1 side coated)","4C (Front)","250","Gloss Lamination (Front)","N/A","678.60","818.60"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (1 side coated)","4C (Front)","250","Matte Lamination (Front)","N/A","678.60","818.60"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (1 side coated)","4C (Front)","250","Matte Lamination (Front) + Spot UV (Front)","N/A","973.15","1113.15"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (1 side coated)","4C (Front)","250","Gloss Waterbase Varnish (Front)","N/A","634.75","774.75"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (1 side coated)","4C (Front)","300","Gloss Lamination (Front)","N/A","781.90","951.90"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (1 side coated)","4C (Front)","300","Matte Lamination (Front)","N/A","781.90","951.90"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (1 side coated)","4C (Front)","300","Matte Lamination (Front) + Spot UV (Front)","N/A","1089.10","1259.10"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (1 side coated)","4C (Front)","300","Gloss Waterbase Varnish (Front)","N/A","731.55","891.55"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (1 side coated)","4C (Front)","350","Gloss Lamination (Front)","N/A","799.60","999.60"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (1 side coated)","4C (Front)","350","Matte Lamination (Front)","N/A","799.60","999.60"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (1 side coated)","4C (Front)","350","Matte Lamination (Front) + Spot UV (Front)","N/A","1091.30","1291.30"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (1 side coated)","4C (Front)","350","Gloss Waterbase Varnish (Front)","N/A","747.80","937.80"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (1 side coated)","4C (Front)","400","Gloss Lamination (Front)","N/A","882.05","1112.05"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (1 side coated)","4C (Front)","400","Matte Lamination (Front)","N/A","882.05","1112.05"
