"Size","Paper","Print Colour","Quantity","Packing","WM Price","EM Price"
"A4 (210mm x 297mm)","Simili 80gsmSimili 100gsmConqueror 100gsm Brilliant White LaidConqueror 100gsm Diamond White LaidConqueror 100gsm White WoveConqueror 100gsm Cream Laid","1C (Front)2C (Front)4C (Front)4C (Both)","102030405060708090100150200250300350400450500600700800900100011001200130014001500","LoosePad (100 pcs per pad)","WM Price","EM Price"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","500","Loose","105.25","145.25"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","600","Loose","107.70","147.70"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","700","Loose","113.75","163.75"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","800","Loose","116.15","166.15"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","900","Loose","119.80","179.80"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","1000","Loose","123.40","193.40"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","1100","Loose","127.05","197.05"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","1200","Loose","129.45","209.45"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","1300","Loose","133.10","213.10"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","1400","Loose","137.95","227.95"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","1500","Loose","140.35","240.35"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","500","Pad (100 pcs per pad)","108.90","148.90"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","600","Pad (100 pcs per pad)","113.75","153.75"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","700","Pad (100 pcs per pad)","118.60","168.60"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","800","Pad (100 pcs per pad)","122.20","172.20"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","900","Pad (100 pcs per pad)","125.85","185.85"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","1000","Pad (100 pcs per pad)","128.25","198.25"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","1100","Pad (100 pcs per pad)","134.30","204.30"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","1200","Pad (100 pcs per pad)","136.75","216.75"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","1300","Pad (100 pcs per pad)","139.15","219.15"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","1400","Pad (100 pcs per pad)","145.20","235.20"
"A4 (210mm x 297mm)","Simili 80gsm","1C (Front)","1500","Pad (100 pcs per pad)","147.60","247.60"
"A4 (210mm x 297mm)","Simili 80gsm","2C (Front)","500","Loose","168.20","208.20"
"A4 (210mm x 297mm)","Simili 80gsm","2C (Front)","600","Loose","173.05","213.05"
"A4 (210mm x 297mm)","Simili 80gsm","2C (Front)","700","Loose","176.65","226.65"
"A4 (210mm x 297mm)","Simili 80gsm","2C (Front)","800","Loose","179.10","229.10"
"A4 (210mm x 297mm)","Simili 80gsm","2C (Front)","900","Loose","183.90","243.90"
"A4 (210mm x 297mm)","Simili 80gsm","2C (Front)","1000","Loose","186.35","256.35"
"A4 (210mm x 297mm)","Simili 80gsm","2C (Front)","1100","Loose","189.95","259.95"
"A4 (210mm x 297mm)","Simili 80gsm","2C (Front)","1200","Loose","193.60","273.60"
"A4 (210mm x 297mm)","Simili 80gsm","2C (Front)","1300","Loose","197.25","277.25"
"A4 (210mm x 297mm)","Simili 80gsm","2C (Front)","1400","Loose","200.85","290.85"
"A4 (210mm x 297mm)","Simili 80gsm","2C (Front)","1500","Loose","204.50","304.50"
"A4 (210mm x 297mm)","Simili 80gsm","2C (Front)","500","Pad (100 pcs per pad)","173.05","213.05"
"A4 (210mm x 297mm)","Simili 80gsm","2C (Front)","600","Pad (100 pcs per pad)","177.85","217.85"
"A4 (210mm x 297mm)","Simili 80gsm","2C (Front)","700","Pad (100 pcs per pad)","182.70","232.70"
"A4 (210mm x 297mm)","Simili 80gsm","2C (Front)","800","Pad (100 pcs per pad)","185.15","235.15"
"A4 (210mm x 297mm)","Simili 80gsm","2C (Front)","900","Pad (100 pcs per pad)","188.75","248.75"
