"Category","Model","Size","Package","Paper","Print Colour","Packing Method","Finishing","Mix Design","Compulsory","Quantity (Pcs)","Weight","Print Method","WM Price","EM Price"
"Standard Money Packet","MP 101MP 103MP 104","154mm x 79.5mm79.5mm x 154mm85mm x 167mm","NormalDual Design5 Design6 Design","Gloss Art Paper 130gsmLinen 140gsmArt Paper 157gsm","4C (Front)","5pcs / Pack6pcs / Pack8pcs / Pack10pcs / Pack","N/AMatte LaminationSoft Touch Lamination","NoYes","Die-Cutting, Gluing + Folding","6001250250050001000015000200002500030000400005000060000700008000090000100000","471326517610112615220225230335340445450481428558211013716421927332838343749254691632639515818931537844156763015306090120150180240300360419479539599183570104139174208278347416486555624693173365981301621952593243894535185836475103672108144215287359430502573645717204080160200320399559639719798669913216519826433039646152759365952244575852550100","DOLO","WM Price","EM Price"
"Standard Money Packet","MP 101","154mm x 79.5mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","600","4","DO","212.00","252.00"
"Standard Money Packet","MP 101","154mm x 79.5mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","1250","7","DO","247.00","317.00"
"Standard Money Packet","MP 101","154mm x 79.5mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","2500","13","LO","378.00","508.00"
"Standard Money Packet","MP 101","154mm x 79.5mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","5000","26","LO","665.00","925.00"
"Standard Money Packet","MP 101","154mm x 79.5mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","10000","51","LO","965.00","1475.00"
"Standard Money Packet","MP 101","154mm x 79.5mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","15000","76","LO","1222.00","1982.00"
"Standard Money Packet","MP 101","154mm x 79.5mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","20000","101","LO","1525.00","2535.00"
"Standard Money Packet","MP 101","154mm x 79.5mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","25000","126","LO","1783.00","3043.00"
"Standard Money Packet","MP 101","154mm x 79.5mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","30000","152","LO","2100.00","3620.00"
"Standard Money Packet","MP 101","154mm x 79.5mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","40000","202","LO","2793.00","4813.00"
