Category,Model,Size,Window,Window Size,Window Shape,Hole Punch,Compulsory,Quantity,WMPrice,EMPrice
Papan Kopi,SB 01,537mm x 334mm,20,52 x 38,Round Square,4,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",1000,1328.4,2908.4
Papan Kopi,SB 01,537mm x 334mm,20,52 x 38,Round Square,4,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",2000,1792.8,4942.8
Papan Kopi,SB 01,537mm x 334mm,20,52 x 38,Round Square,4,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",3000,2276.4,7006.4
Papan Kopi,SB 01,537mm x 334mm,20,52 x 38,Round Square,4,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",4000,2760,9060
Papan Kopi,SB 01,537mm x 334mm,20,52 x 38,Round Square,4,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",5000,3246,11126
Papan Kopi,SB 01,537mm x 334mm,20,52 x 38,Round Square,4,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",6000,3770.4,13220.4
Papan Kopi,SB 01,537mm x 334mm,20,52 x 38,Round Square,4,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",7000,4252.8,15282.8
Papan Kopi,SB 01,537mm x 334mm,20,52 x 38,Round Square,4,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",8000,4804.8,17404.8
Papan Kopi,SB 01,537mm x 334mm,20,52 x 38,Round Square,4,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",9000,5287.2,19467.2
Papan Kopi,SB 01,537mm x 334mm,20,52 x 38,Round Square,4,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",10000,5818.8,21568.8
Papan Kopi,SB 01,537mm x 334mm,20,52 x 38,Round Square,4,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",15000,8332.8,31962.8
Papan Kopi,SB 01,537mm x 334mm,20,52 x 38,Round Square,4,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",20000,10855.2,42355.2
Papan Kopi,SB 01,537mm x 334mm,20,52 x 38,Round Square,4,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",25000,13354.8,52734.8
Papan Kopi,SB 01,537mm x 334mm,20,52 x 38,Round Square,4,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",30000,15855.6,63105.6
Papan Kopi,SB 02,622mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",1000,1442.4,3022.4
Papan Kopi,SB 02,622mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",2000,1984.8,5134.8
Papan Kopi,SB 02,622mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",3000,2544,7274
Papan Kopi,SB 02,622mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",4000,3103.2,9403.2
Papan Kopi,SB 02,622mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",5000,3663.6,11543.6
Papan Kopi,SB 02,622mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",6000,4264.8,13714.8
Papan Kopi,SB 02,622mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",7000,4824,15854
Papan Kopi,SB 02,622mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",8000,5452.8,18052.8
Papan Kopi,SB 02,622mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",9000,6014.4,20194.4
Papan Kopi,SB 02,622mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",10000,6621.6,22371.6
Papan Kopi,SB 02,622mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",15000,9516,33146
Papan Kopi,SB 02,622mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",20000,12423.6,43923.6
Papan Kopi,SB 02,622mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",25000,15304.8,54684.8
Papan Kopi,SB 02,622mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",30000,18187.2,65437.2
Papan Kopi,SB 03,547mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",1000,1324.8,2904.8
Papan Kopi,SB 03,547mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",2000,1790.4,4940.4
Papan Kopi,SB 03,547mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",3000,2272.8,7002.8
Papan Kopi,SB 03,547mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",4000,2755.2,9055.2
Papan Kopi,SB 03,547mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",5000,3237.6,11117.6
Papan Kopi,SB 03,547mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",6000,3762,13212
Papan Kopi,SB 03,547mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",7000,4245.6,15275.6
Papan Kopi,SB 03,547mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",8000,4796.4,17396.4
Papan Kopi,SB 03,547mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",9000,5278.8,19458.8
Papan Kopi,SB 03,547mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",10000,5810.4,21560.4
Papan Kopi,SB 03,547mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",15000,8319.6,31949.6
Papan Kopi,SB 03,547mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",20000,10838.4,42338.4
Papan Kopi,SB 03,547mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",25000,13334.4,52714.4
Papan Kopi,SB 03,547mm x 346mm,20,64 x 40,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",30000,15830.4,63080.4
Papan Kopi,SB 04,547mm x 346mm,15,61 x 38.5,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",1000,1422,3002
Papan Kopi,SB 04,547mm x 346mm,15,61 x 38.5,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",2000,1948.8,5098.8
Papan Kopi,SB 04,547mm x 346mm,15,61 x 38.5,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",3000,2492.4,7222.4
Papan Kopi,SB 04,547mm x 346mm,15,61 x 38.5,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",4000,3036,9336
Papan Kopi,SB 04,547mm x 346mm,15,61 x 38.5,Oval,6,"Boxboard Grey Back 400gsm, Gloss Water Based Varnish (Front),4C Front, Die-Cutting",5000,3582,11462
