"Product","Orientation","Size","Paper","Print Colour","Quantity","Compulsory","Hole Punch","VDP","WMPrice","EMPrice"
"PVC Card","PortraitLandscape","86mm x 54mm54mm x 86mm","0.80mm Gloss PVC Card","4C (Front)4C (Both)","20406080100200300400500600700800900100015002000250030003500400045005000","Round Cornering","Not RequiredHole Punching (6mm)","Not RequiredVariable Data Printing (Front)Variable Data Printing (Back)Variable Data Printing (Both)","WMPrice","EMPrice"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","20","Round Cornering","Not Required","Not Required","57.00","67.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","20","Round Cornering","Not Required","Variable Data Printing (Front)","89.00","99.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","20","Round Cornering","Hole Punching (6mm)","Not Required","59.00","69.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","20","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","91.00","101.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","40","Round Cornering","Not Required","Not Required","73.00","83.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","40","Round Cornering","Not Required","Variable Data Printing (Front)","107.00","117.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","40","Round Cornering","Hole Punching (6mm)","Not Required","77.00","87.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","40","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","111.00","121.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","60","Round Cornering","Not Required","Not Required","90.00","100.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","60","Round Cornering","Not Required","Variable Data Printing (Front)","126.00","136.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","60","Round Cornering","Hole Punching (6mm)","Not Required","96.00","106.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","60","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","132.00","142.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","80","Round Cornering","Not Required","Not Required","105.00","115.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","80","Round Cornering","Not Required","Variable Data Printing (Front)","143.00","153.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","80","Round Cornering","Hole Punching (6mm)","Not Required","113.00","123.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","80","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","151.00","161.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","100","Round Cornering","Not Required","Not Required","119.00","129.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","100","Round Cornering","Not Required","Variable Data Printing (Front)","159.00","169.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","100","Round Cornering","Hole Punching (6mm)","Not Required","129.00","139.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","100","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","169.00","179.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","200","Round Cornering","Not Required","Not Required","196.00","216.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","200","Round Cornering","Not Required","Variable Data Printing (Front)","246.00","266.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","200","Round Cornering","Hole Punching (6mm)","Not Required","216.00","236.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","200","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","266.00","286.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","300","Round Cornering","Not Required","Not Required","273.00","293.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","300","Round Cornering","Not Required","Variable Data Printing (Front)","333.00","353.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","300","Round Cornering","Hole Punching (6mm)","Not Required","303.00","323.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","300","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","363.00","383.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","400","Round Cornering","Not Required","Not Required","350.00","380.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","400","Round Cornering","Not Required","Variable Data Printing (Front)","420.00","450.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","400","Round Cornering","Hole Punching (6mm)","Not Required","390.00","420.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","400","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","460.00","490.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","500","Round Cornering","Not Required","Not Required","416.00","446.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","500","Round Cornering","Not Required","Variable Data Printing (Front)","496.00","526.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","500","Round Cornering","Hole Punching (6mm)","Not Required","466.00","496.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","500","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","546.00","576.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","600","Round Cornering","Not Required","Not Required","494.00","534.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","600","Round Cornering","Not Required","Variable Data Printing (Front)","584.00","624.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","600","Round Cornering","Hole Punching (6mm)","Not Required","554.00","594.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","600","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","644.00","684.00"
