Stamp Type,Category,Model,Description,Unit Price
Pre-Inked Stamp,Rectangle,DF 1331,8mm × 26 mm,19.5
Pre-Inked Stamp,Rectangle,DF 1340,8mm × 35 mm,20
Pre-Inked Stamp,Rectangle,DF 1355,8mm × 50 mm,21
Pre-Inked Stamp,Rectangle,DF 1370,8mm × 65 mm,23
Pre-Inked Stamp,Rectangle,DF 1383,8mm × 78 mm,25
Pre-Inked Stamp,Rectangle,DF 1442,9mm × 38 mm,13
Pre-Inked Stamp,Rectangle,DF 1743,12mm × 38 mm,22
Pre-Inked Stamp,Rectangle,DF 1755,12mm × 50 mm,22
Pre-Inked Stamp,Rectangle,DF 1767,12mm × 62 mm,23
Pre-Inked Stamp,Rectangle,DF 1778,12mm × 73 mm,25
Pre-Inked Stamp,Rectangle,DF 1791,12mm × 86 mm,26.5
Pre-Inked Stamp,Rectangle,DF 2243,17mm × 38 mm,23
Pre-Inked Stamp,Rectangle,DF 2255,17mm × 50 mm,24
Pre-Inked Stamp,Rectangle,DF 2267,17mm × 62 mm,26
Pre-Inked Stamp,Rectangle,DF 2278,17mm × 73 mm,28
Pre-Inked Stamp,Rectangle,DF 2291,17mm × 86 mm,29
Pre-Inked Stamp,Rectangle,DF 2843,23mm × 38 mm,24
Pre-Inked Stamp,Rectangle,DF 2855,23mm × 50 mm,26
Pre-Inked Stamp,Rectangle,DF 2867,23mm × 62 mm,27
Pre-Inked Stamp,Rectangle,DF 2878,23mm × 73 mm,29
Pre-Inked Stamp,Rectangle,DF 2891,23mm × 86 mm,30
Pre-Inked Stamp,Rectangle,DF 28103,23mm × 97 mm,32
Pre-Inked Stamp,Rectangle,DF 3255,27mm × 50 mm,27
Pre-Inked Stamp,Rectangle,DF 3267,27mm × 62 mm,28
Pre-Inked Stamp,Rectangle,DF 3278,27mm × 73 mm,32
Pre-Inked Stamp,Rectangle,DF 3291,27mm × 86 mm,33
Pre-Inked Stamp,Rectangle,DF 32103,26mm × 97 mm,38
Pre-Inked Stamp,Rectangle,DF 3338,28mm × 33 mm,26
Pre-Inked Stamp,Rectangle,DF 3555,30mm × 50 mm,27
Pre-Inked Stamp,Rectangle,DF 4355,38mm × 50 mm,30
Pre-Inked Stamp,Rectangle,DF 4367,38mm × 62 mm,36
Pre-Inked Stamp,Rectangle,DF 4378,38mm × 73 mm,39
Pre-Inked Stamp,Rectangle,DF 4391,38mm × 86 mm,43
Pre-Inked Stamp,Rectangle,DF 43103,37mm × 97 mm,45
Pre-Inked Stamp,Rectangle,DF 5355,47mm × 49 mm,36
Pre-Inked Stamp,Rectangle,DF 5367,47mm × 61 mm,39
Pre-Inked Stamp,Rectangle,DF 5378,47mm × 72 mm,42
Pre-Inked Stamp,Rectangle,DF 5391,47mm × 85 mm,47
Pre-Inked Stamp,Rectangle,DF 53103,47mm × 97 mm,54
Pre-Inked Stamp,Rectangle,DF 6760,61mm × 54 mm,45
Pre-Inked Stamp,Rectangle,DF 6785,60mm × 78 mm,48
Pre-Inked Stamp,Rectangle,DF 67103,60mm × 96 mm,58
Pre-Inked Stamp,Rectangle,DF 78103,71mm × 96 mm,67
Pre-Inked Stamp,Rectangle,DF 90130,83mm × 123 mm,103
Pre-Inked Stamp,Round,DF 19,Ø 15 mm,18
Pre-Inked Stamp,Round,DF 24,Ø 20 mm,19.5
Pre-Inked Stamp,Round,DF 26,Ø 22 mm,21.5
Pre-Inked Stamp,Round,DF 35,Ø 31 mm,25
Pre-Inked Stamp,Round,DF 42,Ø 38 mm,27
Pre-Inked Stamp,Round,DF 47,Ø 43 mm,31
Pre-Inked Stamp,Round,DF 50,Ø 46 mm,33
Pre-Inked Stamp,Round,DF 54,Ø 50 mm,38
Pre-Inked Stamp,Round,DF 65,Ø 61 mm,48
Pre-Inked Stamp,Oval,DFOV 45,40mm × 28 mm,28
Pre-Inked Stamp,Oval,DFOV 49,44mm × 29 mm,28
Pre-Inked Stamp,Oval,DFOV 54,49mm × 34 mm,30.5
Pre-Inked Stamp,Oval,DFOV 65,60mm × 40 mm,33
Pre-Inked Stamp,Square,DF 2626,21mm × 21 mm,24.5
Pre-Inked Stamp,Square,DF 3030,25mm × 25 mm,25
Pre-Inked Stamp,Key Chain,DF 13,Ø 10 mm,12
Pre-Inked Stamp,Key Chain,DFK 1028,6 × 24 mm,11.5
Self-Inked Stamp,Rectangle,CSI-20,17mm × 45 mm,28
Self-Inked Stamp,Rectangle,CSI-30,21mm × 56 mm,32
Self-Inked Stamp,Rectangle,CSI-35,22mm × 66 mm,41
Self-Inked Stamp,Round,C-17,Ø 15 mm,25
Self-Inked Stamp,Round,C-24,Ø 22 mm,28
Self-Inked Stamp,Round,C-30,Ø 29 mm,32
Rubber Stamp,Rectangle,RS 1032,30mm × 8 mm,5.4
Rubber Stamp,Rectangle,RS 1532,30mm × 13 mm,6
Rubber Stamp,Rectangle,RS 1042,40mm × 8 mm,6
Rubber Stamp,Rectangle,RS 1542,40mm × 13 mm,7.2
Rubber Stamp,Rectangle,RS 2045,43mm × 18 mm,8.4
Rubber Stamp,Rectangle,RS 2545,43mm × 23 mm,8.4
Rubber Stamp,Rectangle,RS 3045,43mm × 28 mm,10.2
Rubber Stamp,Rectangle,RS 1052,50mm × 8 mm,6
Rubber Stamp,Rectangle,RS 1552,50mm × 13 mm,7.2
