Product,Model,Size,Paper,Print Colour,Quantity,Lamination,Compulsory,WMPrice,EMPrice
Tent Card,TC 003,294mm x 86mm,Art Card 310gsm,4C (Front),300,Matte Lamination (Both),Die-Cutting + Creasing,181.7,211.7
Tent Card,TC 003,294mm x 86mm,Art Card 310gsm,4C (Front),300,Matte Lamination (Both) + Spot UV (Front),Die-Cutting + Creasing,239.2,269.2
Tent Card,TC 003,294mm x 86mm,Art Card 310gsm,4C (Front),500,Matte Lamination (Both),Die-Cutting + Creasing,250.7,300.7
Tent Card,TC 003,294mm x 86mm,Art Card 310gsm,4C (Front),500,Matte Lamination (Both) + Spot UV (Front),Die-Cutting + Creasing,331.2,381.2
Tent Card,TC 003,294mm x 86mm,Art Card 310gsm,4C (Front),1000,Matte Lamination (Both),Die-Cutting + Creasing,319.7,419.7
Tent Card,TC 003,294mm x 86mm,Art Card 310gsm,4C (Front),1000,Matte Lamination (Both) + Spot UV (Front),Die-Cutting + Creasing,423.2,523.2
Tent Card,TC 003,294mm x 86mm,Art Card 310gsm,4C (Front),2000,Matte Lamination (Both),Die-Cutting + Creasing,572.7,762.7
Tent Card,TC 003,294mm x 86mm,Art Card 310gsm,4C (Front),2000,Matte Lamination (Both) + Spot UV (Front),Die-Cutting + Creasing,765.9,955.9
Tent Card,TC 003,294mm x 86mm,Art Card 310gsm,4C (Front),3000,Matte Lamination (Both),Die-Cutting + Creasing,739.45,1029.45
Tent Card,TC 003,294mm x 86mm,Art Card 310gsm,4C (Front),3000,Matte Lamination (Both) + Spot UV (Front),Die-Cutting + Creasing,1022.35,1312.35
Tent Card,TC 003,294mm x 86mm,Art Card 310gsm,4C (Front),4000,Matte Lamination (Both),Die-Cutting + Creasing,824.55,1204.55
Tent Card,TC 003,294mm x 86mm,Art Card 310gsm,4C (Front),4000,Matte Lamination (Both) + Spot UV (Front),Die-Cutting + Creasing,1197.15,1577.15
Tent Card,TC 003,294mm x 86mm,Art Card 310gsm,4C (Front),5000,Matte Lamination (Both),Die-Cutting + Creasing,910.8,1390.8
Tent Card,TC 003,294mm x 86mm,Art Card 310gsm,4C (Front),5000,Matte Lamination (Both) + Spot UV (Front),Die-Cutting + Creasing,1373.1,1853.1
Tent Card,TC 003,294mm x 86mm,Art Card 310gsm,4C (Front),10000,Matte Lamination (Both),Die-Cutting + Creasing,1361.6,2311.6
Tent Card,TC 003,294mm x 86mm,Art Card 310gsm,4C (Front),10000,Matte Lamination (Both) + Spot UV (Front),Die-Cutting + Creasing,2272.4,3222.4
Tent Card,TC 003,294mm x 86mm,Art Card 310gsm,4C (Front),20000,Matte Lamination (Both),Die-Cutting + Creasing,2278.15,4178.15
Tent Card,TC 003,294mm x 86mm,Art Card 310gsm,4C (Front),20000,Matte Lamination (Both) + Spot UV (Front),Die-Cutting + Creasing,4016.95,5916.95
Tent Card,TC 004,294mm x 140mm,Art Card 310gsm,4C (Front),300,Matte Lamination (Both),Die-Cutting + Creasing,285.2,335.2
Tent Card,TC 004,294mm x 140mm,Art Card 310gsm,4C (Front),300,Matte Lamination (Both) + Spot UV (Front),Die-Cutting + Creasing,354.2,404.2
Tent Card,TC 004,294mm x 140mm,Art Card 310gsm,4C (Front),500,Matte Lamination (Both),Die-Cutting + Creasing,469.2,549.2
Tent Card,TC 004,294mm x 140mm,Art Card 310gsm,4C (Front),500,Matte Lamination (Both) + Spot UV (Front),Die-Cutting + Creasing,565.8,645.8
Tent Card,TC 004,294mm x 140mm,Art Card 310gsm,4C (Front),1000,Matte Lamination (Both),Die-Cutting + Creasing,572.7,732.7
Tent Card,TC 004,294mm x 140mm,Art Card 310gsm,4C (Front),1000,Matte Lamination (Both) + Spot UV (Front),Die-Cutting + Creasing,745.2,905.2
Tent Card,TC 004,294mm x 140mm,Art Card 310gsm,4C (Front),2000,Matte Lamination (Both),Die-Cutting + Creasing,763.6,1073.6
Tent Card,TC 004,294mm x 140mm,Art Card 310gsm,4C (Front),2000,Matte Lamination (Both) + Spot UV (Front),Die-Cutting + Creasing,1021.2,1331.2
Tent Card,TC 004,294mm x 140mm,Art Card 310gsm,4C (Front),3000,Matte Lamination (Both),Die-Cutting + Creasing,905.05,1375.05
Tent Card,TC 004,294mm x 140mm,Art Card 310gsm,4C (Front),3000,Matte Lamination (Both) + Spot UV (Front),Die-Cutting + Creasing,1282.25,1752.25
Tent Card,TC 004,294mm x 140mm,Art Card 310gsm,4C (Front),4000,Matte Lamination (Both),Die-Cutting + Creasing,1046.5,1666.5
Tent Card,TC 004,294mm x 140mm,Art Card 310gsm,4C (Front),4000,Matte Lamination (Both) + Spot UV (Front),Die-Cutting + Creasing,1543.3,2163.3
Tent Card,TC 004,294mm x 140mm,Art Card 310gsm,4C (Front),5000,Matte Lamination (Both),Die-Cutting + Creasing,1186.8,1956.8
Tent Card,TC 004,294mm x 140mm,Art Card 310gsm,4C (Front),5000,Matte Lamination (Both) + Spot UV (Front),Die-Cutting + Creasing,1803.2,2573.2
Tent Card,TC 004,294mm x 140mm,Art Card 310gsm,4C (Front),10000,Matte Lamination (Both),Die-Cutting + Creasing,1972.25,3512.25
Tent Card,TC 004,294mm x 140mm,Art Card 310gsm,4C (Front),10000,Matte Lamination (Both) + Spot UV (Front),Die-Cutting + Creasing,3186.65,4726.65
Tent Card,TC 004,294mm x 140mm,Art Card 310gsm,4C (Front),20000,Matte Lamination (Both),Die-Cutting + Creasing,3567.3,6647.3
Tent Card,TC 004,294mm x 140mm,Art Card 310gsm,4C (Front),20000,Matte Lamination (Both) + Spot UV (Front),Die-Cutting + Creasing,5885.7,8965.7
