05:58:53 [info     ] browser.launched               channel=msedge headless=True
05:59:00 [info     ] order.crawl_start              workers=2
05:59:30 [warning  ] order.configure_failed         paper=Simili 100gsm - Best Seller size=A1 (594mm x 840mm)
05:59:32 [warning  ] order.configure_failed         paper=Simili 100gsm - Best Seller size=A1 (594mm x 840mm)
05:59:52 [warning  ] order.configure_failed         paper=Simili 140gsm - Best Seller size=A1 (594mm x 840mm)
05:59:57 [warning  ] order.configure_failed         paper=Simili 140gsm - Best Seller size=A1 (594mm x 840mm)
06:00:14 [warning  ] order.configure_failed         paper=Gloss Art Paper 100gsm - Best Seller size=A1 (594mm x 840mm)
06:00:20 [warning  ] order.configure_failed         paper=Gloss Art Paper 100gsm - Best Seller size=A1 (594mm x 840mm)
06:00:40 [warning  ] order.configure_failed         paper=Gloss Art Paper 128gsm - Best Seller size=A1 (594mm x 840mm)
06:00:41 [warning  ] order.configure_failed         paper=Gloss Art Paper 128gsm - Best Seller size=A1 (594mm x 840mm)
06:01:00 [warning  ] order.configure_failed         paper=Gloss Art Paper 150gsm - Best Seller size=A1 (594mm x 840mm)
06:01:05 [warning  ] order.configure_failed         paper=Gloss Art Paper 150gsm - Best Seller size=A1 (594mm x 840mm)
06:01:23 [warning  ] order.configure_failed         paper=Matte Art Paper 130gsm - Best Seller size=A1 (594mm x 840mm)
06:01:28 [warning  ] order.configure_failed         paper=Matte Art Paper 130gsm - Best Seller size=A1 (594mm x 840mm)
06:01:47 [warning  ] order.configure_failed         paper=Gloss Art Card 250gsm (2 sides coated) - Best Seller size=A1 (594mm x 840mm)
06:01:50 [warning  ] order.configure_failed         paper=Gloss Art Card 250gsm (2 sides coated) - Best Seller size=A1 (594mm x 840mm)
06:02:10 [warning  ] order.configure_failed         paper=Simili 140gsm - Best Seller size=A2 (420mm x 594mm)
06:02:16 [warning  ] order.configure_failed         paper=Simili 140gsm - Best Seller size=A2 (420mm x 594mm)
06:02:33 [warning  ] order.configure_failed         paper=Gloss Art Paper 100gsm - Best Seller size=A2 (420mm x 594mm)
06:02:33 [info     ] order.recycle_context          processed=9 worker=2
06:02:37 [warning  ] order.configure_failed         paper=Gloss Art Paper 100gsm - Best Seller size=A2 (420mm x 594mm)
06:02:37 [info     ] order.recycle_context          processed=9 worker=1
06:03:04 [warning  ] order.configure_failed         paper=Gloss Art Paper 128gsm - Best Seller size=A2 (420mm x 594mm)
06:03:07 [warning  ] order.configure_failed         paper=Gloss Art Paper 128gsm - Best Seller size=A2 (420mm x 594mm)
